Date	Open	High	Low	Close 	Adj Close 	Volume
Mar 13, 2026	1,385.20	1,400.80	1,378.40	1,380.70	1,374.35	17,265,090
Mar 12, 2026	1,390.00	1,410.90	1,381.10	1,392.20	1,385.79	20,939,959
Mar 11, 2026	1,424.90	1,434.00	1,383.60	1,390.20	1,383.80	21,848,087
Mar 10, 2026	1,430.60	1,431.50	1,400.60	1,408.80	1,402.32	18,071,259
Mar 9, 2026	1,375.00	1,429.40	1,370.00	1,424.00	1,417.45	24,870,822
Mar 6, 2026	1,396.50	1,424.30	1,390.30	1,404.80	1,398.33	19,311,971
Mar 5, 2026	1,353.10	1,399.00	1,353.10	1,389.40	1,383.01	25,957,532
Mar 4, 2026	1,330.00	1,352.80	1,307.00	1,345.00	1,338.81	32,495,007
Mar 2, 2026	1,375.50	1,378.60	1,341.50	1,358.00	1,351.75	23,728,722
Feb 27, 2026	1,398.00	1,410.40	1,388.10	1,393.90	1,387.48	12,031,440
Feb 26, 2026	1,398.50	1,412.90	1,391.90	1,406.80	1,400.33	16,683,858
Feb 25, 2026	1,435.00	1,440.50	1,393.50	1,398.50	1,392.06	10,728,792
Feb 24, 2026	1,425.30	1,433.30	1,415.00	1,428.80	1,422.22	12,529,409
Feb 23, 2026	1,425.00	1,434.90	1,418.30	1,428.00	1,421.43	7,758,856
Feb 20, 2026	1,409.50	1,427.40	1,406.10	1,419.40	1,412.87	8,177,670
Feb 19, 2026	1,443.00	1,443.00	1,400.00	1,409.50	1,403.01	11,884,664
Feb 18, 2026	1,427.00	1,442.10	1,419.20	1,441.30	1,434.67	5,521,096
Feb 17, 2026	1,431.10	1,431.80	1,418.60	1,423.00	1,416.45	10,731,630
Feb 16, 2026	1,420.10	1,439.60	1,409.30	1,437.10	1,430.49	5,896,514
Feb 13, 2026	1,445.50	1,450.70	1,416.30	1,419.60	1,413.07	10,755,693
Feb 12, 2026	1,470.00	1,473.00	1,445.50	1,448.90	1,442.23	11,135,399
Feb 11, 2026	1,459.60	1,470.00	1,453.60	1,468.70	1,461.94	7,106,877
Feb 10, 2026	1,471.00	1,471.00	1,452.20	1,458.50	1,451.79	10,259,630
Feb 9, 2026	1,458.00	1,465.90	1,453.00	1,461.60	1,454.87	5,775,864
Feb 6, 2026	1,441.50	1,452.80	1,433.50	1,450.80	1,444.12	8,277,304
Feb 5, 2026	1,457.00	1,461.50	1,439.50	1,443.40	1,436.76	11,763,658
Feb 4, 2026	1,444.00	1,464.00	1,440.30	1,456.80	1,450.10	8,333,387
Feb 3, 2026	1,473.90	1,489.50	1,430.20	1,437.10	1,430.49	25,456,171
Feb 2, 2026	1,340.00	1,392.90	1,335.50	1,390.40	1,384.00	15,711,165
Jan 30, 2026	1,382.60	1,398.00	1,378.50	1,395.40	1,388.98	11,239,835
Jan 29, 2026	1,402.90	1,402.90	1,384.00	1,391.00	1,384.60	20,846,683
Jan 28, 2026	1,385.00	1,409.90	1,384.90	1,396.70	1,390.27	11,121,657
Jan 27, 2026	1,380.00	1,391.60	1,368.00	1,380.50	1,374.15	26,302,396
Jan 23, 2026	1,401.80	1,407.00	1,381.00	1,386.10	1,379.72	9,837,802
Jan 22, 2026	1,410.10	1,419.50	1,395.00	1,402.50	1,396.05	15,721,693
